Attribution-NonCommercial-NoDerivs License,2860980452,-0.02592,-0.036392,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,4913556997,-0.005252,-81.434204,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,8491558947,-0.972974,10.822321,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,3725078884,-0.906372,11.497519,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,3724276245,-0.906372,11.497519,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,3725109474,-0.906372,11.497519,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,3725065346,-0.906372,11.497519,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,3725062966,-0.906372,11.497519,1,1,1,0,0,0
Attribution-NoDerivs License,4105402596,-0.527343,12.287764,1,0,1,0,0,0
Attribution-NonCommercial-NoDerivs License,5512012382,-0.109863,13.781568,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,104791081,-0.274744,13.578083,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,5511312835,-0.109863,13.781568,1,1,1,0,0,0
Attribution-NonCommercial-NoDerivs License,104778685,-0.274744,13.578083,1,1,1,0,0,0
Attribution-NoDerivs License,6442481127,-0.067377,16.330847,1,0,1,0,0,0
Attribution-NonCommercial-NoDerivs License,259199471,-0.791015,16.997038,1,1,1,0,0,0
Attribution-NoDerivs License,6442477951,-0.050554,16.270626,1,0,1,0,0,0
